Nome: PORTO ALEGRE- BELEM NOVO
Codigo Estacao: B807
Latitude: -30.1861111
Longitude: -51.17805554
Altitude: 3.3
Situacao: Operante
Data Inicial: 2022-12-07
Data Final: 2025-09-22
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2024-08-12;1;15.1;8;3.4;
2024-08-13;0;15.3;2.6;1.2;
2024-08-14;0;20.6;3.9;1.1;
2024-08-15;0;23.2;5.7;.9;
2024-08-16;0;20.1;8.7;1.6;
2024-08-17;0;19.4;12.9;3.3;
2024-08-18;0;22.6;15;1.7;
2024-08-19;0;22.1;15.4;2.2;
2024-08-20;3.2;18;15.4;3.5;
2024-08-21;2.6;27.9;15;2.6;
2024-08-22;0;21.5;16.6;2.4;
2024-08-23;8.6;17.9;11.7;2.3;
2024-08-24;2;14;9.2;3.3;
2024-08-25;0;15.1;6.7;3.1;
2024-08-26;0;16.4;6.4;2.6;
2024-08-27;0;16.8;5.1;1.6;
2024-08-28;0;20.5;9.7;2.7;
2024-08-29;0;20.2;12.2;1.2;
2024-08-30;0;19.4;13.8;2.5;
2024-08-31;0;24.6;15.2;3.9;
2024-09-01;.8;19.7;15;3.9;
2024-09-02;0;19;12.8;3.1;
2024-09-03;0;22.1;9.1;1.5;
2024-09-04;0;19.4;11.2;3.4;
2024-09-05;22.8;18.2;11.9;2.7;
2024-09-06;0;21.2;7.7;2.4;
2024-09-07;0;21.9;9.7;1.1;
2024-09-08;0;18.2;12.4;2.3;
2024-09-09;.2;25.3;15.7;3.8;
2024-09-10;.2;29.1;16.8;1.6;
2024-09-11;0;31.1;15.6;2.3;
2024-09-12;.4;17.9;16.8;2.9;
2024-09-13;3.4;19.9;15.8;1;
2024-09-14;32;20.5;17.4;3.2;
2024-09-15;1.4;19.5;8.8;2.6;
2024-09-16;0;22.1;12.3;2.4;
2024-09-17;.2;24.4;10.5;2.3;
2024-09-18;0;24.9;13.7;2.3;
2024-09-19;0;28.3;12.6;1.7;
2024-09-20;29.8;25.3;18.5;2.9;
2024-09-21;1.8;24.6;17.8;2.5;
2024-09-22;.4;30.1;15;1.8;
2024-09-23;0;23.9;18.5;3.4;
2024-09-24;20.2;24.7;19.5;4.6;
2024-09-25;15.8;22.1;19.6;4;
2024-09-26;53.8;20.5;19.3;3.2;
2024-09-27;26.2;22.4;15.9;2.7;
2024-09-28;0;24.5;12.2;1.9;
2024-09-29;0;28.4;12.5;1.6;
2024-09-30;0;33.3;12.9;1.6;
2024-10-01;0;29.4;20.7;2.9;
2024-10-02;31.8;21.1;18.2;4.6;
2024-10-03;0;18.3;12.9;3.3;
2024-10-04;0;22.8;8.5;2.6;
2024-10-05;0;24.4;11.8;2.8;
2024-10-06;0;23.8;13.5;2.6;
2024-10-07;0;22.5;17.4;3.2;
2024-10-08;2.6;21.5;18.6;1.9;
2024-10-09;2.2;21.2;16.8;4.4;
2024-10-10;2.8;20.1;16.7;3.8;
2024-10-11;3.2;24.7;17.9;1.8;
2024-10-12;7;23.5;16;3;
2024-10-13;0;25.4;13.9;3.5;
2024-10-14;0;28;15.8;2.7;
2024-10-15;.6;21.2;18.3;1.7;
2024-10-16;7.6;23.9;16.3;2.2;
2024-10-17;0;24.4;11.6;2.2;
2024-10-18;.2;22;12.8;1.6;
2024-10-19;.4;24.3;16.4;2.5;
2024-10-20;0;28.4;14.9;3.2;
2024-10-21;0;30.4;17.1;2.2;
2024-10-22;0;32.2;19.5;1.9;
2024-10-23;0;28.8;18.8;2.6;
2024-10-24;0;31.2;21.5;2.4;
2024-10-25;13;26.4;18.2;3.5;
2024-10-26;2.2;23;14;3.5;
2024-10-27;0;23.8;10.5;2.5;
2024-10-28;0;26.6;12.2;2.8;
2024-10-29;0;27.4;17.6;2.6;
2024-10-30;0;28.2;20.7;4.5;
2024-10-31;0;30.4;18.2;3.8;
2024-11-01;0;31;17.7;2.2;
2024-11-02;0;29.4;19.2;1.3;
2024-11-03;1.8;30.9;21.8;2.4;
2024-11-04;0;30.8;21.3;2.8;
2024-11-05;0;28.6;21.3;3.6;
2024-11-06;1.4;28.1;21;4;
2024-11-07;0;27.8;20.7;2.6;
2024-11-08;14;24;18.6;4.8;
2024-11-09;1.6;24.5;16.3;2.4;
2024-11-10;0;28.6;12.7;2.1;
2024-11-11;0;33.4;16.6;3;
2024-11-12;5.8;22.1;15.8;3.8;
2024-11-13;0;26;12;1.7;
2024-11-14;0;27.7;12.3;2.9;
2024-11-15;0;29.8;15.2;2.9;
2024-11-16;0;34.3;18.2;2.6;
2024-11-17;0;35.3;19.4;1.9;
2024-11-18;11.2;28.1;22;3.4;
2024-11-19;3.2;23.8;19.6;3.7;
2024-11-20;26;21.5;15.6;4.3;
2024-11-21;1;25.3;16.9;5.2;
2024-11-22;.8;21.2;18.7;4.6;
2024-11-23;0;26.6;18.7;5;
2024-11-24;0;30;15.9;2.8;
2024-11-25;0;29.4;18.8;1.9;
2024-11-26;.8;29.4;21.8;1.2;
2024-11-27;0;32.8;22.4;1.5;
2024-11-28;.2;27.8;21.2;2.8;
2024-11-29;.2;28.5;21;3.1;
2024-11-30;0;27.6;18.4;2.9;
2024-12-01;0;34.4;18.7;2.8;
2024-12-02;37;31.2;21.6;3;
2024-12-03;.2;26;15.6;2.9;
2024-12-04;0;25.5;14.7;3.5;
2024-12-05;0;30.7;14.8;2.2;
2024-12-06;0;33.8;18.9;2.4;
2024-12-07;18;25;20.5;3.7;
2024-12-08;0;21.8;17.3;3.9;
2024-12-09;0;20.8;15.4;3.7;
2024-12-10;1.2;23;17.7;3.4;
2024-12-11;.6;27.6;16.8;4;
2024-12-12;0;30;16.3;3.5;
2024-12-13;0;31.5;19;2.7;
2024-12-14;74.8;27.9;20.1;2.2;
2024-12-15;14.6;25.6;20.3;4.5;
2024-12-16;28;25.8;17.9;4.7;
2024-12-17;2;25.2;15.9;2.9;
2024-12-18;0;28.2;17.9;3.3;
2024-12-19;0;30.7;17.8;1.4;
2024-12-20;10.4;29.8;19.8;1.8;
2024-12-21;0;25.5;20.3;3.5;
2024-12-22;20.6;23.7;16.1;3.8;
2024-12-23;0;26.7;12.6;3;
2024-12-24;0;30.6;16.2;2.5;
2024-12-25;18.2;25.6;20.3;2.3;
2024-12-26;0;28;16.4;2.5;
2024-12-27;0;29.6;16.5;2.3;
2024-12-28;0;26.7;17.3;2.6;
2024-12-29;0;26.3;18.2;2.8;
2024-12-30;0;28.3;18.2;3.7;
2024-12-31;0;29.8;20.2;3.6;
2025-01-01;1;32.6;19.6;2.3;
2025-01-02;15.2;33.5;21.2;2.3;
2025-01-03;2.8;26.7;21.6;3;
2025-01-04;0;28;17.5;2.6;
2025-01-05;0;26.1;19.3;3.1;
2025-01-06;0;26.6;16.1;2.6;
2025-01-07;0;27;15.8;3;
2025-01-08;0;27.9;18.5;4.1;
2025-01-09;0;28.9;18.5;4.3;
2025-01-10;0;29.9;18.3;4;
2025-01-11;0;28.3;20.4;4.1;
2025-01-12;0;26.5;18.7;3.4;
2025-01-13;0;28.5;17.8;3.2;
2025-01-14;0;30.4;16.5;3;
2025-01-15;0;32;19.8;2.7;
2025-01-16;0;33.5;19.8;2.2;
2025-01-17;3;34.2;21.7;2.4;
2025-01-18;0;30.7;21.8;2.3;
2025-01-19;0;33.4;21.6;2.3;
2025-01-20;6;32.7;22.7;1.7;
2025-01-21;0;31.3;20.4;2.3;
2025-01-22;1.8;31.7;20.5;2.4;
2025-01-23;0;32.9;20.7;2.8;
2025-01-24;0;32.6;22.6;1.9;
2025-01-25;18.2;29.5;23.2;1.9;
2025-01-26;21.4;28.6;22;4;
2025-01-27;0;31.5;19.2;3;
2025-01-28;2.8;30.7;22.2;2;
2025-01-29;2.8;27.7;23.6;3.5;
2025-01-30;6.2;28.4;22.5;3.3;
2025-01-31;.2;28;18.5;1.8;
2025-02-01;0;29.8;19.4;2.4;
2025-02-02;0;31.5;20.3;2.5;
2025-02-03;0;33;21.1;2.9;
2025-02-04;0;35.2;22;2.3;
2025-02-05;0;34;22.8;2.4;
2025-02-06;1.8;32.2;22.5;3.6;
2025-02-07;.2;29.8;22.6;3.4;
2025-02-08;0;32;18.2;3.1;
2025-02-09;0;33.1;19.5;2;
2025-02-10;0;34.7;16.7;2;
2025-02-11;0;39.2;22.6;2.3;
2025-02-12;21.8;26.8;23.6;2;
2025-02-13;8.4;26.8;22.6;2.3;
2025-02-14;9.8;29.4;20;3.4;
2025-02-15;0;30.8;20.1;2.2;
2025-02-16;6.6;34.8;21.8;1.7;
2025-02-17;26;25.5;23.3;2;
2025-02-18;4;26.2;21.8;3.1;
2025-02-19;.2;29.4;17.1;1.8;
2025-02-20;0;29.5;21.1;2.3;
2025-02-21;0;30.9;19.4;2.2;
2025-02-22;0;31.4;19.9;2.8;
2025-02-23;0;32.2;19.9;2.8;
2025-02-24;0;33.7;20.4;2.3;
2025-02-25;0;37.1;22;1.9;
2025-02-26;2;33.1;23;2.4;
2025-02-27;1.8;30.6;23.5;2.3;
2025-02-28;.2;33.6;24.6;1.7;
2025-03-01;0;33.6;24.1;1.9;
2025-03-02;0;33.3;23.7;2;
2025-03-03;0;36.2;24.4;1.9;
2025-03-04;0;35;21.7;2;
2025-03-05;0;34.6;23.7;2;
2025-03-06;0;35.7;21.9;2.2;
2025-03-07;0;34.5;21.2;2.2;
2025-03-08;0;36.4;23.4;2;
2025-03-09;5;29.7;21.7;4.2;
2025-03-10;40.6;26;17.5;2.8;
2025-03-11;0;27.5;16.5;2;
2025-03-12;0;27.6;20.7;2.6;
2025-03-13;0;25.7;18;2.7;
2025-03-14;0;25.6;15;2.6;
2025-03-15;0;25.7;16.9;2.6;
2025-03-16;.8;26.4;17.8;2.6;
2025-03-17;.2;29;19.2;2.3;
2025-03-18;0;27;21.2;2.9;
2025-03-19;0;27.5;15.9;1.5;
2025-03-20;0;29;15.8;1.6;
2025-03-21;0;28.4;16.3;2.3;
2025-03-22;0;29.7;17.5;2;
2025-03-23;0;32.2;20.8;1.9;
2025-03-24;0;28.5;19.3;2.2;
2025-03-25;0;27.7;20.4;2.6;
2025-03-26;0;28.7;19.1;3.2;
2025-03-27;0;30.8;20.3;2.1;
2025-03-28;0;30.6;21.1;1.8;
2025-03-29;0;28.8;20.5;2.2;
2025-03-30;0;33.1;19.4;2.4;
2025-03-31;0;34.9;21.3;2.3;
2025-04-01;24;23;18.9;3.3;
2025-04-02;.6;28.9;20.1;2.3;
2025-04-03;8.4;26.5;20.6;1.7;
2025-04-04;.8;22.6;14.2;5.4;
2025-04-05;0;23.7;11.9;3;
2025-04-06;0;26.2;14.8;3.2;
2025-04-07;0;22.6;18.3;3.5;
2025-04-08;33.2;23.2;18.4;2.3;
2025-04-09;.6;26.5;19;1.4;
2025-04-10;.2;26.3;19.2;2.3;
2025-04-11;0;27.1;21.1;3.5;
2025-04-12;1;28.4;18.6;1.3;
2025-04-13;.6;24.2;21.1;1.8;
2025-04-14;.2;23.2;13;1.8;
2025-04-15;3.8;26.7;13.2;null;
2025-04-16;0;24.3;15.3;null;
2025-04-17;0;25.6;13.6;1.4;
2025-04-18;0;27.3;16.8;1.3;
2025-04-19;0;22.2;18.6;2.9;
2025-04-20;0;21.4;10.8;1.5;
2025-04-21;0;22.5;10;1.3;
2025-04-22;0;24.6;11.3;1.3;
2025-04-23;0;26.8;12.5;1;
2025-04-24;0;23.8;14.3;1;
2025-04-25;0;27;14.9;1.3;
2025-04-26;0;29.1;15.7;1.2;
2025-04-27;6;22.7;19.1;1.7;
2025-04-28;2.4;21.9;10.8;2.1;
2025-04-29;.8;22.2;8.9;1.1;
2025-04-30;.2;21.8;8.8;1;
2025-05-01;0;23;8.1;1.3;
2025-05-02;0;22.8;10;.9;
2025-05-03;0;25.8;12.9;1;
2025-05-04;0;26.7;12.5;1.3;
2025-05-05;0;29.7;12;.9;
2025-05-06;0;26.1;16.1;1.2;
2025-05-07;0;27;15.9;.8;
2025-05-08;0;24.3;19.9;1.4;
2025-05-09;null;null;18.9;null;
2025-05-10;null;null;null;null;
2025-05-11;null;20;14.6;null;
2025-05-12;null;24.5;10.3;1.6;
2025-05-13;null;null;null;null;
2025-05-14;null;null;null;null;
2025-05-15;null;null;null;null;
2025-05-16;null;null;null;null;
2025-05-17;null;null;null;null;
2025-05-18;0;30.6;16.5;1.7;
2025-05-19;0;21.1;15.5;1.8;
2025-05-20;0;21.5;15;1.5;
2025-05-21;0;18.6;13.1;1.8;
2025-05-22;0;18.6;8;1.5;
2025-05-23;0;20.2;7.6;1.2;
2025-05-24;0;21.7;11.4;.9;
2025-05-25;0;24.1;15.9;.9;
2025-05-26;0;20.9;16.7;1;
2025-05-27;0;25.2;16;1.3;
2025-05-28;0;20.7;17.9;1.8;
2025-05-29;0;12.3;8.8;2.5;
2025-05-30;null;null;null;null;
2025-05-31;null;null;null;null;
2025-06-01;null;null;null;null;
2025-06-02;null;null;null;null;
2025-06-03;null;null;null;null;
2025-06-04;null;null;null;null;
2025-06-05;null;null;null;null;
2025-06-06;null;null;null;null;
2025-06-07;null;16.2;6.8;1.1;
2025-06-08;0;17;7.2;1.4;
2025-06-09;0;16.2;8.1;1.4;
2025-06-10;0;14.4;6.6;null;
2025-06-11;null;null;null;null;
2025-06-12;null;null;null;null;
2025-06-13;null;null;null;null;
2025-06-14;null;null;null;null;
2025-06-15;null;null;null;null;
2025-06-16;null;null;null;null;
2025-06-17;null;null;null;null;
2025-06-18;null;null;null;null;
2025-06-19;null;null;null;null;
2025-06-20;null;null;null;null;
2025-06-21;null;null;null;null;
2025-06-22;null;null;null;null;
2025-06-23;null;null;null;null;
2025-06-24;0;11.9;6.1;3.6;
2025-06-25;0;16.3;1.7;.9;
2025-06-26;0;12.7;6.6;1.3;
2025-06-27;0;14;4;1;
2025-06-28;3.6;14.6;7.4;.9;
2025-06-29;34.4;14.2;11.2;2.8;
2025-06-30;.2;12;8.4;2.8;
2025-07-01;0;10.4;2.9;2;
2025-07-02;0;11.2;2.1;1.1;
2025-07-03;0;12.3;5.6;1.8;
2025-07-04;.2;17.5;4.5;1;
2025-07-05;.2;19.5;6.3;1;
2025-07-06;.2;14.7;7.8;1.5;
2025-07-07;0;19.4;9.2;.8;
2025-07-08;.4;18.7;8.9;1.4;
2025-07-09;0;13.5;11;1.7;
2025-07-10;0;17;10.4;1.3;
2025-07-11;0;15.5;9.1;1.6;
2025-07-12;0;14.9;10.9;2.1;
2025-07-13;0;15.2;11.4;1.8;
2025-07-14;0;19.1;13;1.8;
2025-07-15;1.6;16.5;12.1;1;
2025-07-16;.4;20.3;12.3;.8;
2025-07-17;10.8;18.9;13.6;1.8;
2025-07-18;12.6;15.7;10.2;2.5;
2025-07-19;1.6;17.9;7.7;.9;
2025-07-20;.4;15.1;6.6;.7;
2025-07-21;.2;22.4;8.9;.8;
2025-07-22;.2;21.8;9;1.2;
2025-07-23;0;15.4;11.7;2.6;
2025-07-24;0;18;7.4;2.2;
2025-07-25;0;21.6;12.1;1.7;
2025-07-26;0;19.9;13;2.1;
2025-07-27;23;16.8;12.7;1.5;
2025-07-28;23.4;16.4;13.2;5.7;
2025-07-29;.8;15.5;8.9;3.1;
2025-07-30;0;15.7;4.3;1.1;
2025-07-31;0;22.4;6.7;1.2;
2025-08-01;.2;24.3;8.1;1.1;
2025-08-02;0;30.5;14.2;1.2;
2025-08-03;24.2;22.9;17.1;1.7;
2025-08-04;28;15.6;14.6;2.6;
2025-08-05;8.2;16.1;10.3;2.4;
2025-08-06;0;21;11.8;1.7;
2025-08-07;3.8;17.5;14.9;1.3;
2025-08-08;7.4;14.4;10.7;4;
2025-08-09;3.4;15.3;9.4;1.9;
2025-08-10;.2;15.9;8.4;1.4;
2025-08-11;.2;17.1;5.4;1;
2025-08-12;.2;20;4.5;.9;
2025-08-13;.2;21.2;7;1.8;
2025-08-14;0;15.3;10.3;2.4;
2025-08-15;.2;18;10.5;2.5;
2025-08-16;.2;21.1;11.1;1.9;
2025-08-17;0;19.6;12.2;1.4;
2025-08-18;0;21.5;10.3;1.3;
2025-08-19;0;23.3;14.6;1.3;
2025-08-20;3.4;22;14.5;2.7;
2025-08-21;0;22.5;13.7;2.2;
2025-08-22;54.6;20.4;15.9;2.5;
2025-08-23;21.8;19.3;13.4;3.3;
2025-08-24;14.6;14.5;8.4;1.3;
2025-08-25;0;15;6.7;.9;
2025-08-26;0;17.5;6.9;1.3;
2025-08-27;0;21.2;10.6;2.9;
2025-08-28;0;22.2;11;2.2;
2025-08-29;0;24.8;10.9;1.9;
2025-08-30;0;27.2;15.8;1.5;
2025-08-31;.2;27.6;14.2;1.6;
2025-09-01;0;27.1;16.7;2.2;
2025-09-02;0;26.8;18.3;1;
2025-09-03;10;22.8;19.1;1.5;
2025-09-04;47;20;14.9;2.9;
2025-09-05;22.2;13.5;11.5;3.2;
2025-09-06;0;15.5;9.2;2.6;
2025-09-07;0;21.3;10.1;2.2;
2025-09-08;.4;19;15.1;1.1;
2025-09-09;27.4;21.3;15.1;2.2;
2025-09-10;0;22.5;10.4;1.4;
2025-09-11;0;22.9;8.9;1.8;
2025-09-12;.2;18.8;7.6;1.7;
2025-09-13;0;22.7;8.2;2;
2025-09-14;0;23.7;10.6;1.4;
2025-09-15;0;22.4;13.6;1;
2025-09-16;.8;22.8;16.5;1.9;
2025-09-17;0;25.7;16.9;1.9;
2025-09-18;0;27.5;13.2;1.4;
2025-09-19;0;25.4;16.5;1;
2025-09-20;0;23.5;17.3;.9;
2025-09-21;29;22.3;18.7;2.3;
2025-09-22;28.8;null;14.4;null;

