Nome: PORTO ALEGRE
Codigo Estacao: 83967
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-09-18
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2016-09-11;0;25,1;12;2,2;
2016-09-12;0;31,8;13,3;1,8;
2016-09-13;30,8;27,4;17,3;5,2;
2016-09-14;1,5;18,6;13,5;5,9;
2016-09-15;0;19,3;11,7;2,7;
2016-09-16;0;23,6;8,4;4;
2016-09-17;0;28,4;11,6;1,8;
2016-09-18;0;23,4;14,7;1,9;
2016-09-19;0;18,4;14,3;2,9;
2016-09-20;0;20,9;11,9;1,7;
2016-09-21;0;24,4;13,3;2,2;
2016-09-22;0;26;12,3;2,2;
2016-09-23;0;21,4;12,3;2,9;
2016-09-24;0;18,8;11,6;1,9;
2016-09-25;0;16,5;10,6;2,1;
2016-09-26;0;21,4;9,2;2;
2016-09-27;0;24;10,1;2,8;
2016-09-28;0;27,3;11,6;1,5;
2016-09-29;,1;20,5;12,3;3,7;
2016-09-30;0;22,2;9,8;2,7;
2016-10-01;0;23,7;13,2;3,7;
2016-10-02;0;26,4;13,2;2,3;
2016-10-03;0;25,4;14,7;3,4;
2016-10-04;0;22,1;15,7;3,4;
2016-10-05;0;23,3;14,1;4,6;
2016-10-06;1,2;19,9;14,7;3,2;
2016-10-07;2,2;25;13,1;1,6;
2016-10-08;0;23,9;16,3;2,7;
2016-10-09;0;22,4;10,6;1,7;
2016-10-10;0;26,2;9,1;3;
2016-10-11;0;28,8;15,7;2;
2016-10-12;0;27,4;17,1;2,6;
2016-10-13;15,6;25,9;18,3;2;
2016-10-14;,2;25,2;17,7;2,5;
2016-10-15;0;29,7;16,9;2,2;
2016-10-16;5,7;25,9;20;1;
2016-10-17;71,8;22,2;18,4;2,7;
2016-10-18;36;19,9;16,9;2;
2016-10-19;14,3;21;19;1,1;
2016-10-20;18,3;25,2;17,3;4;
2016-10-21;0;22,4;14,9;2,3;
2016-10-22;0;24,3;11,5;2,8;
2016-10-23;0;29,7;17;1,4;
2016-10-24;0;29,2;18,7;2,4;
2016-10-25;0;24,6;18,7;3,9;
2016-10-26;2;27,1;18,9;1,8;
2016-10-27;24,3;22,4;15,5;4,7;
2016-10-28;0;18,1;12,7;2,2;
2016-10-29;0;23,3;10,2;2,5;
2016-10-30;0;27;13,8;2,4;
2016-10-31;0;32,8;15,1;2;
2016-11-01;0;24;20,4;2;
2016-11-02;18;24;16,7;4;
2016-11-03;0;22;10,4;1,9;
2016-11-04;0;27,9;11,2;1,8;
2016-11-05;0;31,3;12,3;2,4;
2016-11-06;0;31,2;16,9;1,5;
2016-11-07;0;35;17,9;2,1;
2016-11-08;0;31,1;18,1;1,9;
2016-11-09;,6;25,3;20,2;1,6;
2016-11-10;34,6;29,5;18,6;2;
2016-11-11;5;22;15,6;2,3;
2016-11-12;0;24,8;9,1;2,8;
2016-11-13;0;30,3;14,2;2,2;
2016-11-14;0;31,8;16,1;2,5;
2016-11-15;0;33,1;18,6;2;
2016-11-16;0;27;20,4;3;
2016-11-17;2,3;23,3;15,1;3,2;
2016-11-18;17,1;21,4;10,8;2,4;
2016-11-19;,9;23,8;11,1;2,4;
2016-11-20;0;27,5;13,3;1,7;
2016-11-21;0;26,8;17,7;3,4;
2016-11-22;0;24,2;14,5;1,9;
2016-11-23;0;27;13,5;1,9;
2016-11-24;0;28,8;13,1;2,8;
2016-11-25;0;31,2;17,4;2,2;
2016-11-26;0;34;19,7;1,9;
2016-11-27;0;31,3;22,3;1,3;
2016-11-28;25,4;24,8;19,9;1,3;
2016-11-29;0;26;16,3;2,4;
2016-11-30;0;25,7;13,1;2,5;
2016-12-01;0;27,4;15,1;2,2;
2016-12-02;0;31,9;17,7;1,5;
2016-12-03;0;25,8;20;2,4;
2016-12-04;45,6;24,2;17,5;1,6;
2016-12-05;,5;28,1;15;1,8;
2016-12-06;0;32,2;16,7;1,6;
2016-12-07;0;30,3;21,2;3;
2016-12-08;4,4;32;18,3;2;
2016-12-09;0;25,8;16,8;3,2;
2016-12-10;0;32;19,1;1,7;
2016-12-11;0;33,8;21,8;2,6;
2016-12-12;0;33,8;18,4;2;
2016-12-13;0;33,4;21,2;2,5;
2016-12-14;0;27,2;17,1;2,1;
2016-12-15;0;26;14,2;3,1;
2016-12-16;0;28,5;16,1;3;
2016-12-17;0;32,5;18,6;1,6;
2016-12-18;0;35,5;22,2;2,1;
2016-12-19;0;30,6;23,8;2,4;
2016-12-20;4,2;32,2;22,2;1,8;
2016-12-21;0;33,2;20,9;2;
2016-12-22;0;36;21,9;1,8;
2016-12-23;6,5;34,5;24,2;2,8;
2016-12-24;0;32;22,2;2,4;
2016-12-25;0;35,2;20,9;2,5;
2016-12-26;8,2;38;20,8;2,7;
2016-12-27;18;30,3;22,2;1,2;
2016-12-28;5,9;25,9;21,7;2,1;
2016-12-29;1,1;27,5;22,5;,5;
2016-12-30;10,6;33,5;21,4;,9;
2016-12-31;23,2;30,2;22,8;,9;
2017-01-01;6;33,2;22,3;1,9;
2017-01-02;0;31,8;24,6;3,1;
2017-01-03;0;35;22,6;,7;
2017-01-04;51,4;33,4;20,2;2,5;
2017-01-05;28;31,2;21,5;2,2;
2017-01-06;10,8;27,4;21,6;3,1;
2017-01-07;0;29,4;21,1;,6;
2017-01-08;0;33,8;23,3;1,3;
2017-01-09;7,6;30,4;22,4;2,6;
2017-01-10;28,5;29;21,8;1,5;
2017-01-11;16,6;31;22,6;2,3;
2017-01-12;0;30,9;19,9;2,1;
2017-01-13;0;34;18,5;2;
2017-01-14;0;31,4;23,4;1,8;
2017-01-15;,2;33,2;22,4;2,8;
2017-01-16;0;31,8;21,4;1,9;
2017-01-17;39,4;30,6;21,2;2,8;
2017-01-18;,6;31,6;23,2;3,2;
2017-01-19;0;29,4;18,9;2,6;
2017-01-20;0;30,2;19,2;3;
2017-01-21;0;29,5;19,4;2,9;
2017-01-22;0;31,9;20,4;2,7;
2017-01-23;0;32,5;22,4;3;
2017-01-24;0;33,6;22,3;2,3;
2017-01-25;1,8;30,5;21,8;2,5;
2017-01-26;4,6;28,5;20,3;2,5;
2017-01-27;1,6;27,9;17,5;1,1;
2017-01-28;0;29,5;17,2;1,7;
2017-01-29;0;32;20,7;2,1;
2017-01-30;0;34,4;22,6;1,9;
2017-01-31;0;32,5;23,1;2;
2017-02-01;4,9;31;22,9;1,7;
2017-02-02;0;32,5;23,2;1,3;
2017-02-03;1,6;32,2;22,8;2;
2017-02-04;2,1;35,4;21,8;1,3;
2017-02-05;0;32;25,5;2,5;
2017-02-06;0;27,8;21,6;3,1;
2017-02-07;0;29,2;17,7;2,1;
2017-02-08;0;29;17,8;2,5;
2017-02-09;0;33,4;20,4;2,3;
2017-02-10;0;34,4;23,1;2,4;
2017-02-11;2,3;26,3;22,4;1,1;
2017-02-12;2,6;32,1;22,2;1,7;
2017-02-13;2,5;30,6;22,8;3;
2017-02-14;7,1;29,1;23,2;1,5;
2017-02-15;6,6;34,4;22,8;1,2;
2017-02-16;6,9;35,8;22,2;2,1;
2017-02-17;8,3;31;21,8;1,2;
2017-02-18;0;36;23,2;2;
2017-02-19;,5;34,9;24,2;1,4;
2017-02-20;3,9;34,8;23,4;1,4;
2017-02-21;0;33,4;25,2;1,4;
2017-02-22;1,2;31,4;22,5;1,9;
2017-02-23;0;32,2;21,5;1,8;
2017-02-24;0;32,5;23,6;1,8;
2017-02-25;0;32,2;23;1,7;
2017-02-26;0;32,6;22,6;2,2;
2017-02-27;0;33,5;21,7;2,5;
2017-02-28;0;34;21,2;2,1;
2017-03-01;,1;31,6;24,6;1,8;
2017-03-02;0;35,6;24,2;2,6;
2017-03-03;0;36,1;24,5;1,4;
2017-03-04;4,2;30;23,4;1,9;
2017-03-05;12,2;26,9;23,1;2,4;
2017-03-06;9,2;30,5;20,4;1,6;
2017-03-07;0;31,6;21;2,5;
2017-03-08;0;33,2;23;2,2;
2017-03-09;0;34,2;22,5;2,8;
2017-03-10;52,1;26,4;20,4;1,4;
2017-03-11;0;28,8;17,3;2,7;
2017-03-12;63,8;23,6;21;2,5;
2017-03-13;12,1;25,4;14,1;1,2;
2017-03-14;0;28,9;13,7;,9;
2017-03-15;0;33,6;17,4;,3;
2017-03-16;8,5;26,6;19,4;2,6;
2017-03-17;1,3;25,2;14,3;2,3;
2017-03-18;0;25,2;13,3;2,3;
2017-03-19;0;26,9;16,3;2,8;
2017-03-20;0;27,3;18,2;2,1;
2017-03-21;0;29,4;18,2;2,1;
2017-03-22;0;30,6;19,4;1,9;
2017-03-23;0;28;20,7;2,1;
2017-03-24;0;29,6;17,3;1,8;
2017-03-25;0;27,3;18,5;1,1;
2017-03-26;2,1;28;20,5;2,8;
2017-03-27;0;29;19,8;2,5;
2017-03-28;0;28,6;18,3;2,9;
2017-03-29;0;27,6;18,3;2,6;
2017-03-30;0;28,7;17,3;2;
2017-03-31;0;27,6;17,3;3;
2017-04-01;0;28,1;18,2;3,1;
2017-04-02;0;28,5;17,7;3,1;
2017-04-03;0;31,4;19,3;1,5;
2017-04-04;0;31;20,6;1,3;
2017-04-05;0;28,8;23,6;1,7;
2017-04-06;0;27,8;20,5;2,3;
2017-04-07;0;29,4;16,7;3;
2017-04-08;0;29;21,2;2,5;
2017-04-09;0;26,2;22,8;1,3;
2017-04-10;2,5;31,2;22,2;2,3;
2017-04-11;26,3;25,2;17,1;2,3;
2017-04-12;0;22,9;15,5;2,1;
2017-04-13;0;26,2;11,9;2,2;
2017-04-14;0;25,2;16,6;1,2;
2017-04-15;0;24,4;19,5;1,6;
2017-04-16;1,4;21,4;18,5;2,2;
2017-04-17;6,9;25;15,8;2,7;
2017-04-18;0;24,6;16,7;3,4;
2017-04-19;0;29,2;17,1;1,8;
2017-04-20;0;28;18,3;1,3;
2017-04-21;0;27,4;16,5;1,5;
2017-04-22;11,8;25,3;16,3;1,2;
2017-04-23;0;25,2;12;2,6;
2017-04-24;0;20,8;15,1;,5;
2017-04-25;6;22;18;1,1;
2017-04-26;60;19,9;15,1;5,4;
2017-04-27;0;19,6;10,6;4,3;
2017-04-28;0;22,8;8,4;1,9;
2017-04-29;0;24,9;9,3;1,5;
2017-04-30;0;27;9,8;,7;
2017-05-01;0;24,6;10,4;1,1;
2017-05-02;0;28,6;14,3;,9;
2017-05-03;0;27,8;15,7;,8;
2017-05-04;2,9;24;17,9;1,4;
2017-05-05;,2;25;16,9;2,2;
2017-05-06;0;26,4;18,2;2,2;
2017-05-07;0;30,1;17,7;2,4;
2017-05-08;0;28,7;17,1;1,4;
2017-05-09;0;23;17,4;2;
2017-05-10;,6;22,6;14,3;1,4;
2017-05-11;0;20,8;9,7;3,1;
2017-05-12;,1;18,8;14,5;1,6;
2017-05-13;34,7;19,2;16,5;2,8;
2017-05-14;13,5;20,7;15,9;2,4;
2017-05-15;,2;21,4;13,8;1,4;
2017-05-16;,1;21,6;13,9;1;
2017-05-17;0;25,6;13,5;1,2;
2017-05-18;,2;24,4;15,8;4,2;
2017-05-19;,2;24,4;17,3;4,7;
2017-05-20;0;26;17,5;1,7;
2017-05-21;10,4;21,6;14,7;1,7;
2017-05-22;,6;24;11;1;
2017-05-23;0;20,4;13,6;,5;
2017-05-24;1,4;26,7;15,1;1,2;
2017-05-25;20,9;22,4;19,3;2;
2017-05-26;24,7;22,2;17,1;3,3;
2017-05-27;51,4;17,8;16;2,6;
2017-05-28;15,6;20,2;16,2;2,4;
2017-05-29;2,7;21;16,7;2,5;
2017-05-30;,4;18;15,2;1,4;
2017-05-31;3,7;17,6;14,9;2,6;
2017-06-01;29,5;17,2;15,1;2;
2017-06-02;41,9;21,2;13,1;1,6;
2017-06-03;0;23,6;10,3;1,1;
2017-06-04;3,2;18,2;15,6;,3;
2017-06-05;2,7;18,4;14,9;1,8;
2017-06-06;2;18;14,7;1,8;
2017-06-07;2,1;20;14,7;,9;
2017-06-08;90,6;19,4;15,3;2,7;
2017-06-09;3,7;16;11,2;4,1;
2017-06-10;,6;17,4;10,6;3,4;
2017-06-11;0;21;8,4;1;
2017-06-12;0;20,6;9,4;,8;
2017-06-13;,1;21,4;11,7;,7;
2017-06-14;,1;17;11,8;1,3;
2017-06-15;0;24,6;11,6;1,2;
2017-06-16;0;26,2;14;1,6;
2017-06-17;0;28,6;15,5;1,8;
2017-06-18;0;25,7;10,3;2,8;
2017-06-19;13,9;13;8,4;1,9;
2017-06-20;0;15,6;4,2;1,2;
2017-06-21;0;21,6;7,9;1,3;
2017-06-22;0;26,4;10,2;1,3;
2017-06-23;0;28,6;11,1;,7;
2017-06-24;0;26,6;14,2;,4;
2017-06-25;,1;27;14,3;1,9;
2017-06-26;0;23,8;11,8;1,6;
2017-06-27;0;27,9;12,4;1,3;
2017-06-28;0;27,9;15,1;2;
2017-06-29;0;26,6;15,8;1,5;
2017-06-30;6,4;20,3;14,1;1,8;
2017-07-01;0;18;11;1,6;
2017-07-02;0;17,6;5,9;1,8;
2017-07-03;0;20,8;7,6;1,2;
2017-07-04;0;23,8;10,4;1,6;
2017-07-05;0;25,7;12,3;2;
2017-07-06;0;24,6;12;,9;
2017-07-07;0;26,6;11,4;1,4;
2017-07-08;0;26,6;15;1,3;
2017-07-09;0;25,5;14,7;,9;
2017-07-10;,2;27,3;15,1;1;
2017-07-11;0;20,8;16,1;1,7;
2017-07-12;,9;26,5;15,9;2,2;
2017-07-13;0;28,7;14,3;1,3;
2017-07-14;0;27,9;15;1,5;
2017-07-15;0;28,7;17,7;2,6;
2017-07-16;0;23,4;19,5;2,2;
2017-07-17;17,3;8,6;7;2,7;
2017-07-18;0;12,4;2,9;3,4;
2017-07-19;0;15,9;2,2;1,7;
2017-07-20;0;20,4;3,8;1,4;
2017-07-21;0;20;6,3;1,9;
2017-07-22;0;21,4;6;1,3;
2017-07-23;0;27,3;8,6;1,6;
2017-07-24;0;30,9;12,8;1,7;
2017-07-25;0;27,2;16,4;2;
2017-07-26;0;27,2;16,6;1,5;
2017-07-27;,1;24,9;15;1,4;
2017-07-28;,2;26,2;13,1;1,6;
2017-07-29;0;27,4;13,9;1,7;
2017-07-30;0;28;14,1;1,3;
2017-07-31;0;27,4;14,1;1,2;
2017-08-01;0;28;14,6;1,4;
2017-08-02;0;21,4;16,1;2;
2017-08-03;21,9;19,6;14;2,8;
2017-08-04;1,5;19,1;11,2;2,6;
2017-08-05;0;22,2;10,9;1,9;
2017-08-06;0;24,4;9,8;1,1;
2017-08-07;0;26,6;10,1;1,7;
2017-08-08;2;20,8;14,4;3,1;
2017-08-09;2,9;18;11,5;2,1;
2017-08-10;,8;21,8;10;3,4;
2017-08-11;6,7;20,4;15,4;3;
2017-08-12;1,8;20,8;16,5;1,9;
2017-08-13;35,6;21,7;15,8;2,4;
2017-08-14;7,2;19,2;12,3;2,7;
2017-08-15;,1;23,2;9,6;,7;
2017-08-16;0;23,4;13,5;,6;
2017-08-17;0;23,3;10,6;,6;
2017-08-18;,2;26,7;11;1,2;
2017-08-19;0;26,2;12,5;,9;
2017-08-20;23,9;20,6;11,6;2,2;
2017-08-21;0;18,6;7;1,7;
2017-08-22;0;23;6,6;1,9;
2017-08-23;0;29;13,3;1,6;
2017-08-24;0;32,9;15,7;1,5;
2017-08-25;0;32;18,5;1,5;
2017-08-26;0;28,6;18,3;1,6;
2017-08-27;0;22,5;18,2;1,3;
2017-08-28;,2;27,8;15,7;1,3;
2017-08-29;0;34,4;17,7;1,2;
2017-08-30;,3;25,4;12,9;2,7;
2017-08-31;,8;21,9;12;2,6;
2017-09-01;0;26,8;14,5;1,3;
2017-09-02;0;31,8;14,7;1,4;
2017-09-03;0;32,7;17,3;1,7;
2017-09-04;0;33,5;20,5;2,4;
2017-09-05;0;25;15,9;2,1;
2017-09-06;2,5;22,5;15,7;2,5;
2017-09-07;,6;31,7;17,1;1,3;
2017-09-08;0;27,2;18,3;1,9;
2017-09-09;0;28,8;17,7;1,7;
2017-09-10;0;34,8;18,5;1,9;
2017-09-11;0;27,3;20,2;3,8;
2017-09-12;0;20,6;15,7;3,3;
2017-09-13;1,4;24,1;16,5;2,4;
2017-09-14;0;24,3;17,5;2,3;
2017-09-15;24;19,4;14,8;1,9;
2017-09-16;71,7;17,3;14,2;1,6;
2017-09-17;41,7;21,5;15,7;1,6;
2017-09-18;2,3;23,4;13,8;1,7;
2017-09-19;0;27;15,3;1,5;
2017-09-20;0;34,2;15,9;,7;
2017-09-21;0;35,5;17,1;1,5;
2017-09-22;0;29,6;17,1;2,3;
2017-09-23;7,4;20,1;16,5;1,9;
2017-09-24;0;23,3;15,1;3,7;
2017-09-25;0;30,1;15,7;2;
2017-09-26;0;30,9;18,5;1,4;
2017-09-27;0;26,3;18,3;1,9;
2017-09-28;,6;20,2;16,4;3,1;
2017-09-29;0;19,1;15,6;2,4;
2017-09-30;12,5;22,3;15,5;2,1;
2017-10-01;1,2;31,2;15,5;2;
2017-10-02;33,6;22;16,2;2,7;
2017-10-03;0;23,4;13,3;3,3;
2017-10-04;0;30,1;12,8;1,6;
2017-10-05;0;31,8;15,4;1,5;
2017-10-06;0;23,5;19,6;1,7;
2017-10-07;2,5;23,8;16,3;4,6;
2017-10-08;0;23,3;16,5;3,7;
2017-10-09;0;27,8;17;1,9;
2017-10-10;0;24,4;19,2;2,9;
2017-10-11;59,9;20,3;17,6;2,1;
2017-10-12;41,8;21,2;17,3;1,9;
2017-10-13;70,4;22,4;18;1,9;
2017-10-14;14,5;21;15,9;1,7;
2017-10-15;,4;24,5;11,9;1,6;
2017-10-16;0;27,1;13,5;2,3;
2017-10-17;0;31,6;17;2,1;
2017-10-18;0;28,2;19,6;2,1;
2017-10-19;44,8;25,2;19;3,1;
2017-10-20;0;25,6;13,9;2,8;
2017-10-21;0;22,3;18,1;2;
2017-10-22;3,6;21,9;14,3;2,9;
2017-10-23;0;22,2;11,2;1,8;
2017-10-24;0;26,4;12,3;2,9;
2017-10-25;0;26,1;16,7;2,2;
2017-10-26;0;28,2;17;1,8;
2017-10-27;12;27;19,3;2,7;
2017-10-28;5,4;21,9;17,3;2,1;
2017-10-29;,3;26,1;16,3;3;
2017-10-30;0;28;18,2;1,5;
2017-10-31;0;24,6;15,9;2,2;
2017-11-01;0;26,8;12;2,3;
2017-11-02;0;22,2;14,8;2,9;
2017-11-03;4;23,8;18,3;1,8;
2017-11-04;5;21,8;18,2;1,7;
2017-11-05;23,2;24,6;12,9;2,7;
2017-11-06;0;25,8;15,6;3,2;
2017-11-07;0;28,7;15,8;2,5;
2017-11-08;,1;23;19,4;2;
2017-11-09;7,7;29,8;17,1;1,6;
2017-11-10;4;22,6;18,3;,2;
2017-11-11;6,3;28,8;15,1;3,4;
2017-11-12;0;26,6;15,4;3,1;
2017-11-13;0;29,6;14,5;2,1;
2017-11-14;0;31;15,1;2,9;
2017-11-15;0;35,6;17,7;2,1;
2017-11-16;0;28,9;17,1;1,4;
2017-11-17;14;26;16,9;1,5;
2017-11-18;4,9;28,4;19,1;1,9;
2017-11-19;0;25,2;13,8;2;
2017-11-20;0;29,5;14;2,7;
2017-11-21;0;26,5;16,3;3,5;
2017-11-22;4,9;23,8;14,3;2,3;
2017-11-23;0;29;11,6;1,4;
2017-11-24;0;29,8;15,7;3,2;
2017-11-25;0;21,6;15,5;1,7;
2017-11-26;63,1;24,4;17,3;,3;
2017-11-27;,7;29,8;15,9;1,4;
2017-11-28;0;26,4;18,4;2,5;
2017-11-29;0;26,6;16,3;3,8;
2017-11-30;0;24,1;18,1;4,4;
2017-12-01;0;26,6;18,1;3,8;
2017-12-02;0;31,4;18,6;2,6;
2017-12-03;0;28,6;20,7;1,3;
2017-12-04;2,6;24,6;19,2;2,6;
2017-12-05;3,5;25;18,1;3,6;
2017-12-06;,1;31,8;20;2,4;
2017-12-07;49,9;28,4;20,6;1,9;
2017-12-08;30;29,6;19,8;1,6;
2017-12-09;0;31,9;17,9;1,3;
2017-12-10;0;34,6;19,4;3,3;
2017-12-11;,7;25,8;18,6;2,4;
2017-12-12;0;26,4;14,7;3,2;
2017-12-13;0;34,6;17,1;2,4;
2017-12-14;0;33,8;21,2;1,2;
2017-12-15;0;33,2;20,3;2,3;
2017-12-16;0;36,2;21,8;1,6;
2017-12-17;0;35;22,9;2,9;
2017-12-18;8,5;23,9;18,1;2,8;
2017-12-19;0;28,8;18,5;3,5;
2017-12-20;0;28;21;1,6;
2017-12-21;,2;31,6;21;2,4;
2017-12-22;0;34,2;21;1,9;
2017-12-23;0;31,1;21,6;2,1;
2017-12-24;40,1;25;20;3,6;
2017-12-25;1,4;26,8;16,3;2,2;
2017-12-26;0;31,8;16,3;2,2;
2017-12-27;0;33,8;20,2;2,1;
2017-12-28;0;33,4;21;2,5;
2017-12-29;0;30,5;22,2;2;
2017-12-30;16,5;31,4;20,7;2,2;
2017-12-31;0;33,2;20,2;2,5;
2018-01-01;0;31,4;20,8;1,9;
2018-01-02;21,7;28,1;21,4;2;
2018-01-03;1,2;30,6;19,9;2,3;
2018-01-04;0;34;18,4;1,7;
2018-01-05;0;36;21;2,2;
2018-01-06;0;29,8;22;2,5;
2018-01-07;,1;28,4;15,9;2,5;
2018-01-08;0;29,6;18,1;3,4;
2018-01-09;0;30,6;18,1;3;
2018-01-10;0;32,9;21,9;2,4;
2018-01-11;34,1;31,1;21,8;3;
2018-01-12;,3;30,5;22;1,4;
2018-01-13;,5;32,8;22,2;2;
2018-01-14;0;32,4;22,6;1,7;
2018-01-15;8,2;29,8;24;2,7;
2018-01-16;11,4;28,7;22,2;2,4;
2018-01-17;0;30,7;21,4;2;
2018-01-18;0;32,9;23,4;2,9;
2018-01-19;7,6;31,7;20,6;1,4;
2018-01-20;0;33,6;17,9;2,2;
2018-01-21;4,1;24,8;21;1,2;
2018-01-22;14;26,7;20,8;1,7;
2018-01-23;8,8;28;22,2;2;
2018-01-24;0;33,2;21,2;1,9;
2018-01-25;24;27,6;20,9;3;
2018-01-26;0;27,2;17,9;3,1;
2018-01-27;0;31,3;18,9;2;
2018-01-28;,2;30,6;22,7;1,9;
2018-01-29;13,8;28;21,6;2,1;
2018-01-30;0;29,3;20,2;3;
2018-01-31;0;29,5;20,7;3,7;
2018-02-01;0;30,4;20;2,6;
2018-02-02;0;31,4;18,1;2,3;
2018-02-03;0;29,5;20,6;2,8;
2018-02-04;0;29,4;19,1;2,8;
2018-02-05;0;30,7;19;1,7;
2018-02-06;0;32,2;19,8;2,3;
2018-02-07;0;33;20,2;2;
2018-02-08;0;34,9;20,2;1,9;
2018-02-09;0;36,5;20,2;1,8;
2018-02-10;35,2;30,2;21,4;2;
2018-02-11;0;27,4;19,6;2,1;
2018-02-12;11,4;25,2;18,5;2,5;
2018-02-13;,8;26,4;13,7;1,8;
2018-02-14;0;28;16,7;2,9;
2018-02-15;0;28,6;16,9;2,9;
2018-02-16;0;30,6;18,5;2,8;
2018-02-17;0;31,5;19,2;2;
2018-02-18;0;33,4;20;2,1;
2018-02-19;0;29;21,2;1,7;
2018-02-20;3,3;26,1;22;2,1;
2018-02-21;27;29,2;20,2;1,9;
2018-02-22;15;27,8;17,8;1,4;
2018-02-23;0;28,8;18,3;2,3;
2018-02-24;0;29,8;20;2,8;
2018-02-25;0;29,8;19,4;1,9;
2018-02-26;0;29,8;19,6;2;
2018-02-27;0;30,5;21,2;2,2;
2018-02-28;26,4;29,4;20,2;1,8;
2018-03-01;0;31;22,8;2;
2018-03-02;0;30,4;22,8;2,3;
2018-03-03;0;29,8;20,4;1,3;
2018-03-04;0;32,8;22,2;1;
2018-03-05;8,2;31,5;21;,1;
2018-03-06;0;28,2;21,7;1,5;
2018-03-07;,7;26,7;17,7;1,6;
2018-03-08;0;28,1;16,1;2;
2018-03-09;0;27,8;17,9;2,5;
2018-03-10;0;33,3;19,5;1,3;
2018-03-11;0;34,7;21,7;2,5;
2018-03-12;7,5;25,4;16,5;2,1;
2018-03-13;0;28,8;15;1,7;
2018-03-14;0;32,6;17,9;1,9;
2018-03-15;33,3;27,3;21,7;3;
2018-03-16;1,9;27,3;16,5;1,6;
2018-03-17;0;33;18;1,8;
2018-03-18;0;36,4;22;1,2;
2018-03-19;7,5;29;18,4;1,4;
2018-03-20;4,4;22,6;17,4;1,5;
2018-03-21;2;24,8;16,5;1,5;
2018-03-22;0;26;14,3;1,6;
2018-03-23;0;33,1;17,2;,6;
2018-03-24;0;29,2;20,7;1;
2018-03-25;26,9;24,1;19,9;2,2;
2018-03-26;3,2;22,8;15,8;2;
2018-03-27;,6;22,9;19,6;2,3;
2018-03-28;,8;27,1;20,6;1,3;
2018-03-29;0;26,9;21;,3;
2018-03-30;2,4;29,8;21,3;0;
2018-03-31;0;24,4;20,9;0;
2018-04-01;18,6;26;20,7;1;
2018-04-02;6,4;23,4;19,9;2,5;
2018-04-03;22,8;26,8;20,2;1,1;
2018-04-04;1,4;27,2;19,8;1,1;
2018-04-05;,2;27,8;17,9;,7;
2018-04-06;0;28,8;17,7;1,2;
2018-04-07;0;30,4;17,6;,7;
2018-04-08;0;30;18,9;1,9;
2018-04-09;0;31,5;21;1,2;
2018-04-10;0;31,9;19,5;,2;
2018-04-11;0;33,9;20,2;1,2;
2018-04-12;0;33,7;22;,7;
2018-04-13;5,4;27,6;19,2;1,7;
2018-04-14;,2;22,2;17,1;1,7;
2018-04-15;0;26;18,2;2,6;
2018-04-16;0;26,6;18,1;3,2;
2018-04-17;0;28,4;16,1;1,6;
2018-04-18;0;29,8;17,9;1,6;
2018-04-19;0;31;17,6;1,5;
2018-04-20;0;32,1;18,7;1,4;
2018-04-21;20,2;25,7;19,5;1,3;
2018-04-22;7,5;30,2;17,8;1,2;
2018-04-23;0;30,9;19,8;1,8;
2018-04-24;0;28,5;21,1;1,9;
2018-04-25;0;30,5;21;1,1;
2018-04-26;0;28;21,8;1,5;
2018-04-27;0;29;19,7;1,4;
2018-04-28;0;31,9;20;1,2;
2018-04-29;0;31,6;20,3;1,9;
2018-04-30;20,6;27,2;20,4;1,5;
2018-05-01;2,6;22,9;18,4;2,2;
2018-05-02;3,3;24,6;18,4;4,4;
2018-05-03;0;25,2;19,9;,4;
2018-05-04;0;26,4;17,7;,3;
2018-05-05;,2;25,9;19,1;,7;
2018-05-06;0;24,9;20,1;1,7;
2018-05-07;0;24,5;18,1;3,8;
2018-05-08;0;27,4;17,9;2,7;
2018-05-09;0;27,3;18;,3;
2018-05-10;0;28,8;19,2;,7;
2018-05-11;0;23,8;18,2;,9;
2018-05-12;9,6;22,8;15,9;2,7;
2018-05-13;0;23;12,7;1,4;
2018-05-14;0;26,2;13,1;1,5;
2018-05-15;0;20,7;15,7;1,3;
2018-05-16;,6;21,4;14,7;2,4;
2018-05-17;0;21,3;9,8;1,7;
2018-05-18;28;16,8;14,4;1,8;
2018-05-19;8,7;15,7;12,3;3,3;
2018-05-20;35,1;15,4;9,8;4,7;
2018-05-21;,1;18,8;10,3;1,6;
2018-05-22;0;18,6;9,2;1,4;
2018-05-23;0;17,4;8,4;1,2;
2018-05-24;0;18,8;6,6;1,4;
2018-05-25;0;20,9;5;2,1;
2018-05-26;0;25,5;9,1;1,2;
2018-05-27;0;27,6;12,3;1,4;
2018-05-28;0;29,7;14,3;1,6;
2018-05-29;0;27,8;13,2;1,9;
2018-05-30;0;28;14,4;1,6;
2018-05-31;0;24,9;14,7;1,1;
2018-06-01;,7;23;16,8;1,6;
2018-06-02;18,8;18,1;11,9;2,7;
2018-06-03;0;15;7,4;1,9;
2018-06-04;0;19,8;10,2;2,4;
